Category,Product Name,Product Link,Primary Image,Price,Description,Sizes,All Images
men-sneakers,X Lows BUBBLEGUM,https://www.wearcomet.com/products/x-lows-bubblegum,www.wearcomet.com/cdn/shop/files/lateral-min_4af4a316-5a27-4613-9bcf-6a53082ed2d1.jpg?v=1722346979&width=533,₹ 4299MRP,"Sticky, stretchy, and irresistibly fun, bubblegum has been a symbol of carefree joy for decades. Bubblegum’s signature pink hues evoke memories of childhood summers and playground adventures. It brings a pop of fun and colour to any outfit, ensuring every step is as enjoyable as blowing bubbles on a sunny day.","3, 4, 5, 6, 7, 8, 9, 10, 11, 12","www.wearcomet.com/cdn/shop/files/lateral-min_4af4a316-5a27-4613-9bcf-6a53082ed2d1.jpg?v=1722346979&width=1946, www.wearcomet.com/cdn/shop/files/lateral-min_4af4a316-5a27-4613-9bcf-6a53082ed2d1.jpg?v=1722346979&width=1946"
men-sneakers,X Lows CORDUROY,https://www.wearcomet.com/products/x-lows-corduroy,www.wearcomet.com/cdn/shop/files/lateral-min_3f3967eb-1738-43b7-9dac-af135fb8ef45.jpg?v=1724424159&width=533,₹ 4299MRP,"A picture of autumn with its vibrant orange, deep wine and clean white, Corduroy is the epitome of understated sophistication. Inspired by its namesake, the pair mirrors the soft texture of the fabric, thus offering you a cozy yet refined look. - Ever-soft and ever-snug grip- Roomy toe box lets our broad Indian toes breathe.- Irresistible comfort, thanks to SpaceWalk, our signature 3-layered sole system.","4, 5, 6, 7, 8, 9, 10, 11, 12","www.wearcomet.com/cdn/shop/files/lateral-min_3f3967eb-1738-43b7-9dac-af135fb8ef45.jpg?v=1724424159&width=1946, www.wearcomet.com/cdn/shop/files/lateral-min_3f3967eb-1738-43b7-9dac-af135fb8ef45.jpg?v=1724424159&width=1946"
men-sneakers,X Lows BEACHBALL,https://www.wearcomet.com/products/x-lows-beachball,www.wearcomet.com/cdn/shop/files/lateral_3-min.jpg?v=1727441002&width=533,₹ 4299MRP,"A playful take on the vibrant coastal hues that capture sun-soaked beaches, wind in your hair, and the peaceful breeze. With every step you take, you’re one step closer to peace and seaside adventure. A fine mix of blue, yellow, white, and orange, Beach Ball pushes you a step closer to nature and experience bliss. They’re as sturdy as they come but will lead you to the gentle shore.","6, 7, 8, 9, 10, 11, 12","www.wearcomet.com/cdn/shop/files/lateral_3-min.jpg?v=1727441002&width=1946, www.wearcomet.com/cdn/shop/files/lateral_3-min.jpg?v=1727441002&width=1946"
men-sneakers,X Lows PISTACHIO,https://www.wearcomet.com/products/x-lows-pistachio,www.wearcomet.com/cdn/shop/files/lateral_782aafc1-daad-449b-bfff-f4b0ae6fd314.jpg?v=1724919195&width=533,₹ 4299MRP,"Nestled in their pale shells, pistachios hide a treasure of vibrant green and rich flavour.Cracking one open is a small ritual, rewarded with a distinctively nutty crunch. Step into that same satisfying feeling with Pistachio, whose cool green hues, accented with crisp white, mirror the nut's natural palette. These sleek kicks are a perfect blend of earthy charm and modern style.","4, 5, 6, 7, 8, 9, 10, 11, 12","www.wearcomet.com/cdn/shop/files/lateral_782aafc1-daad-449b-bfff-f4b0ae6fd314.jpg?v=1724919195&width=1946, www.wearcomet.com/cdn/shop/files/lateral_782aafc1-daad-449b-bfff-f4b0ae6fd314.jpg?v=1724919195&width=1946"
men-sneakers,X Lows FLAMINGO,https://www.wearcomet.com/products/x-lows-flamingo,www.wearcomet.com/cdn/shop/files/lateral-min_1e85aa22-8d28-4c12-a14e-b34333eca589.jpg?v=1724918915&width=533,₹ 4299MRP,"A whimsical fusion of pink and white. FLAMINGO is reminiscent of cotton candy skies and playful summer days. These sneakers have the grace that lets you stand tall and walk every step with elegance, just like the iconic bird they’re named after. The twin-colour palette lends it a certain chicness that sets it apart from the crowd.The right layers of microfiber and mesh promise it will stay breathable, nimble, and edgy at all hours. Each time you slide your feet into a Comet show, prepare to descend into a cosy embrace.","3, 4, 5, 6, 7, 8, 9, 10, 11, 12","www.wearcomet.com/cdn/shop/files/lateral-min_1e85aa22-8d28-4c12-a14e-b34333eca589.jpg?v=1724918915&width=1946, www.wearcomet.com/cdn/shop/files/lateral-min_1e85aa22-8d28-4c12-a14e-b34333eca589.jpg?v=1724918915&width=1946"
men-sneakers,X Lows STARBURST,https://www.wearcomet.com/products/x-lows-starburst,www.wearcomet.com/cdn/shop/files/lateral-min_9981b4d4-a786-44f7-bce7-2c1aa16f07f9.jpg?v=1725349676&width=533,₹ 4299MRP,"Capturing the essence of a cosmic explosion, Starburst with its fusion of pink, blue and white infuses a dynamic blend of colours into your wardrobe. This energetic design, a stellar spectacle in itself, makes you stand out with every stride. - Ever-soft and ever-snug grip- Roomy toe box lets our broad Indian toes breathe.- Irresistible comfort, thanks to SpaceWalk, our signature 3-layered sole system.","3, 4, 5, 6, 7, 8, 9, 10, 11, 12","www.wearcomet.com/cdn/shop/files/lateral-min_9981b4d4-a786-44f7-bce7-2c1aa16f07f9.jpg?v=1725349676&width=1946, www.wearcomet.com/cdn/shop/files/lateral-min_9981b4d4-a786-44f7-bce7-2c1aa16f07f9.jpg?v=1725349676&width=1946"
men-sneakers,X Lows NEPTUNE,https://www.wearcomet.com/products/x-lows-neptune,www.wearcomet.com/cdn/shop/files/lateral-min_a5d4200b-4479-44b0-9ec4-706ad5bb7899.jpg?v=1720152292&width=533,₹ 4299MRP,"Neptune is a symbol of mystery, strength, and elegance. Inspired by this distant planet, the dark blue colour-blocking represents its deep, uncharted waters, while the black accents symbolise the infinite void of space. Thus, adding a touch of sleek sophistication fit for adventures in the city or nature. The refreshing colour palette lends it a rarity and uniqueness that lets you walk away from the mainstream.","7, 8, 9, 10, 11, 12","www.wearcomet.com/cdn/shop/files/lateral-min_a5d4200b-4479-44b0-9ec4-706ad5bb7899.jpg?v=1720152292&width=1946, www.wearcomet.com/cdn/shop/files/lateral-min_a5d4200b-4479-44b0-9ec4-706ad5bb7899.jpg?v=1720152292&width=1946"
men-sneakers,X Highs LIGHT,https://www.wearcomet.com/products/x-highs-light,www.wearcomet.com/cdn/shop/files/Lateral-view-min_4a3a171d-92e7-48d3-badb-9e3cf16f4c57.jpg?v=1698138345&width=533,₹ 4499MRP,"A high-top edition of one of our favourites. LIGHT HIGH breathes an air of sophistication and is an absolute head-turner. It’s a wardrobe staple for all aesthetics—modern and vintage—and is synonymous with street style.Funk it up with an orange lace The monochromatic palette lends it a sleek appearance. The right layers of microfiber and mesh promise it will stay breathable, nimble, and edgy at all hours. Each time you slide your feet into a Comet shoe, prepare to descend into a cosy embrace.","6, 7, 8, 9, 10, 11","www.wearcomet.com/cdn/shop/files/Lateral-view-min_4a3a171d-92e7-48d3-badb-9e3cf16f4c57.jpg?v=1698138345&width=1946, www.wearcomet.com/cdn/shop/files/Lateral-view-min_4a3a171d-92e7-48d3-badb-9e3cf16f4c57.jpg?v=1698138345&width=1946"
women-sneakers,X Lows MADAGASCAR,https://www.wearcomet.com/products/x-lows-madagascar,www.wearcomet.com/cdn/shop/files/lateral-min_8efe85e6-d8bf-43c1-bcde-aa784cefb724.jpg?v=1722936106&width=533,₹ 4299MRP,Strokes of pastel blues and greens. A dash of all shades of browns that is bound to accentuate any look. MADAGASCAR is a vibrant daydream of a sneaker. A multitude of subtle and striking hues collide and lend a fresh and playful canvas for all your adventures. The colourblock palette lends it a rarity and uniqueness that lets you walk away from the mainstream.,"3, 4, 5, 6, 7, 8, 9, 10, 11, 12","www.wearcomet.com/cdn/shop/files/lateral-min_8efe85e6-d8bf-43c1-bcde-aa784cefb724.jpg?v=1722936106&width=1946, www.wearcomet.com/cdn/shop/files/lateral-min_8efe85e6-d8bf-43c1-bcde-aa784cefb724.jpg?v=1722936106&width=1946"
women-sneakers,X Lows FLAMINGO,https://www.wearcomet.com/products/x-lows-flamingo,www.wearcomet.com/cdn/shop/files/lateral-min_1e85aa22-8d28-4c12-a14e-b34333eca589.jpg?v=1724918915&width=533,₹ 4299MRP,"A whimsical fusion of pink and white. FLAMINGO is reminiscent of cotton candy skies and playful summer days. These sneakers have the grace that lets you stand tall and walk every step with elegance, just like the iconic bird they’re named after. The twin-colour palette lends it a certain chicness that sets it apart from the crowd.The right layers of microfiber and mesh promise it will stay breathable, nimble, and edgy at all hours. Each time you slide your feet into a Comet show, prepare to descend into a cosy embrace.","3, 4, 5, 6, 7, 8, 9, 10, 11, 12","www.wearcomet.com/cdn/shop/files/lateral-min_1e85aa22-8d28-4c12-a14e-b34333eca589.jpg?v=1724918915&width=1946, www.wearcomet.com/cdn/shop/files/lateral-min_1e85aa22-8d28-4c12-a14e-b34333eca589.jpg?v=1724918915&width=1946"
women-sneakers,X Lows LAGOON,https://www.wearcomet.com/products/x-lows-lagoon,www.wearcomet.com/cdn/shop/files/lateral-min_1ce59f50-0b17-4840-9e6f-46200635f279.jpg?v=1724736048&width=533,₹ 4299MRP,"Shades of shallow blues. Pristine rocks resting on a bed of wet sand. Cloudy skies mirrored in the water come together and shine bright in hues of coral and yellow. LAGOON nudges you to begin again, embrace everything with a fresh start, stand out and stand tall.Funk it up with an added Black shoelace. The colourblock palette lends it a rarity and uniqueness that lets you walk away from the mainstream.The right layers of microfiber and mesh promise it will stay breathable, nimble, and edgy at all hours. Each time you slide your feet into a Comet shoe, prepare to descend into a cosy embrace.","3, 4, 5, 6, 7, 8, 9, 10, 11, 12","www.wearcomet.com/cdn/shop/files/lateral-min_1ce59f50-0b17-4840-9e6f-46200635f279.jpg?v=1724736048&width=1946, www.wearcomet.com/cdn/shop/files/lateral-min_1ce59f50-0b17-4840-9e6f-46200635f279.jpg?v=1724736048&width=1946"
women-sneakers,X Lows TIRAMISU,https://www.wearcomet.com/products/x-lows-tiramisu,www.wearcomet.com/cdn/shop/files/tiramisu_lateral-min.jpg?v=1722317878&width=533,₹ 4299MRP,"Soft and airy. Bitter and sweet. The muted colour duo is rich and effortless to style. TIRAMISU combines chic with timeless and is bound to reign supreme.Funk it up with an added Black shoelace. The monochromatic palette lends it a sleeker appearance. The right layers of microfiber and mesh promise it will stay breathable, nimble, and edgy at all hours. Each time you slide your feet into a Comet shoe, prepare to descend into a cosy embrace.","3, 4, 5, 6, 7, 8, 9, 10, 11, 12","www.wearcomet.com/cdn/shop/files/tiramisu_lateral-min.jpg?v=1722317878&width=1946, www.wearcomet.com/cdn/shop/files/tiramisu_lateral-min.jpg?v=1722317878&width=1946"
women-sneakers,X Lows LIGHT,https://www.wearcomet.com/products/x-lows-light,www.wearcomet.com/cdn/shop/files/light_lateral-min.jpg?v=1724735803&width=533,₹ 4299MRP,"Let there be light and all shall be alright. LIGHT has a flair that is hard to get over. Style it modern, style it vintage; this one is a shelf staple that will always be there to meet you halfway.Funk it up withshoelace of your choice. The monochromatic palette lends it a sleek appearance. The right layers of microfiber and mesh promise it will stay breathable, nimble, and edgy at all hours. Each time you slide your feet into a Comet shoe, prepare to descend into a cosy embrace.","3, 4, 5, 6, 7, 8, 9, 10, 11, 12","www.wearcomet.com/cdn/shop/files/light_lateral-min.jpg?v=1724735803&width=1946, www.wearcomet.com/cdn/shop/files/light_lateral-min.jpg?v=1724735803&width=1946"
women-sneakers,X Lows BUBBLEGUM,https://www.wearcomet.com/products/x-lows-bubblegum,www.wearcomet.com/cdn/shop/files/lateral-min_4af4a316-5a27-4613-9bcf-6a53082ed2d1.jpg?v=1722346979&width=533,₹ 4299MRP,"Sticky, stretchy, and irresistibly fun, bubblegum has been a symbol of carefree joy for decades. Bubblegum’s signature pink hues evoke memories of childhood summers and playground adventures. It brings a pop of fun and colour to any outfit, ensuring every step is as enjoyable as blowing bubbles on a sunny day.","3, 4, 5, 6, 7, 8, 9, 10, 11, 12","www.wearcomet.com/cdn/shop/files/lateral-min_4af4a316-5a27-4613-9bcf-6a53082ed2d1.jpg?v=1722346979&width=1946, www.wearcomet.com/cdn/shop/files/lateral-min_4af4a316-5a27-4613-9bcf-6a53082ed2d1.jpg?v=1722346979&width=1946"
women-sneakers,X Lows CORDUROY,https://www.wearcomet.com/products/x-lows-corduroy,www.wearcomet.com/cdn/shop/files/lateral-min_3f3967eb-1738-43b7-9dac-af135fb8ef45.jpg?v=1724424159&width=533,₹ 4299MRP,"A picture of autumn with its vibrant orange, deep wine and clean white, Corduroy is the epitome of understated sophistication. Inspired by its namesake, the pair mirrors the soft texture of the fabric, thus offering you a cozy yet refined look. - Ever-soft and ever-snug grip- Roomy toe box lets our broad Indian toes breathe.- Irresistible comfort, thanks to SpaceWalk, our signature 3-layered sole system.","4, 5, 6, 7, 8, 9, 10, 11, 12","www.wearcomet.com/cdn/shop/files/lateral-min_3f3967eb-1738-43b7-9dac-af135fb8ef45.jpg?v=1724424159&width=1946, www.wearcomet.com/cdn/shop/files/lateral-min_3f3967eb-1738-43b7-9dac-af135fb8ef45.jpg?v=1724424159&width=1946"
women-sneakers,X Lows WASABI,https://www.wearcomet.com/products/x-lows-wasabi,www.wearcomet.com/cdn/shop/files/lateral-min_f5bd769d-86e7-43c4-bf69-9c1928059d07.jpg?v=1727439551&width=533,₹ 4299MRP,"Fresh mint comes together with crisp white within the periphery of classic black. WASABI is a portal to a carefree world. Spirited charm that’s true to its namesake, like a sunlit garden with a playful bounce stealing the show. The refreshing colour palette lends it a rarity and uniqueness that lets you walk away from the mainstream.","3, 4, 5, 6, 7, 8, 9, 10, 11, 12","www.wearcomet.com/cdn/shop/files/lateral-min_f5bd769d-86e7-43c4-bf69-9c1928059d07.jpg?v=1727439551&width=1946, www.wearcomet.com/cdn/shop/files/lateral-min_f5bd769d-86e7-43c4-bf69-9c1928059d07.jpg?v=1727439551&width=1946"
women-sneakers,X Lows PINECONE,https://www.wearcomet.com/products/x-lows-pinecone,www.wearcomet.com/cdn/shop/files/lateral-min_342aa061-758d-4648-9f7a-dd9b260d91bf.jpg?v=1724751294&width=533,₹ 4299MRP,"Sombre hues of brown and olive. An mnemonic of the vast timber trails of India. PINECONE is a rendezvous with solitude. A moment of hush amidst chaos. Let this be the one to reawaken your tranquillity and embark you on new journeys.Funk it up with an added Brown shoelace. This tropic colour palette is as Indian as it gets. The right layers of microfiber and mesh promise it will stay breathable, nimble, and edgy at all hours. Each time you slide your feet into a Comet shoe, prepare to descend into a cosy embrace.","3, 4, 5, 6, 7, 8, 9, 10, 11, 12","www.wearcomet.com/cdn/shop/files/lateral-min_342aa061-758d-4648-9f7a-dd9b260d91bf.jpg?v=1724751294&width=1946, www.wearcomet.com/cdn/shop/files/lateral-min_342aa061-758d-4648-9f7a-dd9b260d91bf.jpg?v=1724751294&width=1946"
women-sneakers,X Lows NEPTUNE W,https://www.wearcomet.com/products/x-lows-neptune-w,www.wearcomet.com/cdn/shop/files/lateral-min_a5d4200b-4479-44b0-9ec4-706ad5bb7899.jpg?v=1720152292&width=533,₹ 4299MRP,"Neptune is a symbol of mystery, strength, and elegance. Inspired by this distant planet, the dark blue colour-blocking represents its deep, uncharted waters, while the black accents symbolise the infinite void of space. Thus, adding a touch of sleek sophistication fit for adventures in the city or nature. The refreshing colour palette lends it a rarity and uniqueness that lets you walk away from the mainstream.","4, 5, 6, 7","www.wearcomet.com/cdn/shop/files/lateral-min_a5d4200b-4479-44b0-9ec4-706ad5bb7899.jpg?v=1720152292&width=1946, www.wearcomet.com/cdn/shop/files/lateral-min_a5d4200b-4479-44b0-9ec4-706ad5bb7899.jpg?v=1720152292&width=1946"
women-sneakers,X Lows DARK,https://www.wearcomet.com/products/x-lows-dark,www.wearcomet.com/cdn/shop/files/Lateral-extra-lacing-min.jpg?v=1718630579&width=533,₹ 4299MRP,"A low-top silhouette in a timeless colour. Black upper. Black bottom. Black Spacewalk Sole. DARK is a fusion of mystery and aesthetics. A blend of shadows and subtleties in an obsidian enigma.Funk it up with an added Coral shoelace. The monochromatic palette lends it a sleek appearance. The right layers of microfiber and mesh promise it will stay breathable, nimble, and edgy at all hours. Each time you slide your feet into a Comet shoe, prepare to descend into a cosy embrace.","3, 4, 5, 6, 7, 8, 9, 10, 11, 12","www.wearcomet.com/cdn/shop/files/Lateral-extra-lacing-min.jpg?v=1718630579&width=1946, www.wearcomet.com/cdn/shop/files/Lateral-extra-lacing-min.jpg?v=1718630579&width=1946"
women-sneakers,X Lows BLACKCURRANT,https://www.wearcomet.com/products/x-lowsblackcurrant,www.wearcomet.com/cdn/shop/files/lateral-min_9f36678c-606b-48b2-9666-f9bc443acf5f.jpg?v=1722936229&width=533,₹ 4299MRP,A rich allure of black and deep purple has a noctural elegance with a touch of gothic. BLACKCURRANT is a fusion of mystery and sophistication. The intense colours whisper tales of chic fashion in a spellbinding demeanour. The unique colourblock palette lends it a certain boldness that will make your sneakers the talk of the town.,"3, 4, 5, 6, 7, 8, 9, 10, 11, 12","www.wearcomet.com/cdn/shop/files/lateral-min_9f36678c-606b-48b2-9666-f9bc443acf5f.jpg?v=1722936229&width=1946, www.wearcomet.com/cdn/shop/files/lateral-min_9f36678c-606b-48b2-9666-f9bc443acf5f.jpg?v=1722936229&width=1946"
women-sneakers,X Lows BLUEJAY,https://www.wearcomet.com/products/bluejay,www.wearcomet.com/cdn/shop/files/Lateral-view-min_a7f6d271-4df2-4b34-a1e5-eb11b8e8278c.jpg?v=1713772458&width=533,₹ 4299MRP,"A playful nod to your ripped jeans, Bluejay is the epitome of laid-back sophistication. It is the perfect balance between classic and cool. The distressed upper and indigo blue gives you the authentic look of your favourite pair of worn jeans. Crafted with premium materials and meticulous attention to detail, Bluejay is ready for all kinds of adventure, from city streets to beachside strolls.","3, 4, 5, 6, 7","www.wearcomet.com/cdn/shop/files/Lateral-view-min_a7f6d271-4df2-4b34-a1e5-eb11b8e8278c.jpg?v=1713772458&width=1946, www.wearcomet.com/cdn/shop/files/Lateral-view-min_a7f6d271-4df2-4b34-a1e5-eb11b8e8278c.jpg?v=1713772458&width=1946"
